"amostra";"Au";"Pd";"Pt";"Ag";"Al";"As";"B";"Ba";"Be";"Bi";"Ca";"Cd";"Ce";"Co";"Cr";"Cs";"Cu";"Fe";"Ga";"Ge";"Hf";"Hg";"In";"K";"La";"Li";"Lu";"Mg";"Mn";"Mo";"Na";"Nb";"Ni";"P";"Pb";"Rb";"Re";"S";"Sb";"Sc";"Se";"Sn";"Sr";"Ta";"Tb";"Te";"Th";"Ti";"Tl";"U";"V";"W";"Y";"Yb";"Zn";"Zr";"boletim"
"ICP615";"-10";"-10";"-10";"-0,01";"1,66";"23";"-10";"227";"1,7";"0,17";"0,41";"0,07";"59,92";"22,7";"118";"4,31";"17";"3,47";"6,8";"-0,1";"0,28";"0,02";"0,03";"0,17";"34";"17";"0,07";"0,75";"763";"0,33";"0,04";"1,47";"58,7";"811";"20,3";"19,1";"-0,1";"-0,01";"0,79";"6,2";"-1";"1,5";"62";"-0,05";"0,41";"-0,05";"5,3";"0,14";"0,12";"1,9";"69";"0,4";"8,42";"0,5";"63";"13,5";"GQ2003733"
"ICP616";"-10";"-10";"-10";"-0,01";"1,54";"24";"-10";"220";"1,6";"0,17";"0,4";"0,07";"60,32";"22,4";"115";"4,19";"15,2";"3,4";"6,5";"-0,1";"0,26";"0,02";"0,02";"0,14";"34,8";"16";"0,07";"0,74";"731";"0,27";"0,03";"1,43";"57,7";"811";"20,8";"17,7";"-0,1";"-0,01";"0,81";"5,9";"-1";"1,5";"59,6";"-0,05";"0,41";"-0,05";"5";"0,13";"0,11";"1,9";"68";"0,2";"8,38";"0,5";"62";"12,1";"GQ2003733"
"ICP617";"-9999";"-9999";"-9999";"-0,01";"0,41";"1";"-10";"106";"0,5";"0,05";"0,06";"0,02";"16,09";"2,7";"9";"0,51";"2,3";"1,09";"1,3";"-0,1";"-0,05";"-0,01";"-0,02";"0,11";"8,1";"2";"0,04";"0,06";"270";"0,26";"0,03";"0,61";"3,5";"129";"6,4";"7";"-0,1";"-0,01";"0,14";"1";"-1";"0,6";"10,1";"-0,05";"0,15";"-0,05";"1,8";"0,02";"0,05";"0,39";"12";"-0,1";"3,66";"0,3";"12";"1,8";"GQ2003733"
"ICP618";"-10";"-10";"-10";"-0,01";"0,52";"3";"-10";"83";"1";"0,1";"0,06";"0,02";"33,82";"1,9";"5";"1,08";"2,9";"0,91";"2,1";"-0,1";"0,06";"0,01";"-0,02";"0,09";"19,5";"3";"0,1";"0,04";"154";"0,54";"0,03";"1,67";"2,4";"111";"7,1";"9,4";"-0,1";"-0,01";"0,16";"0,9";"-1";"0,8";"23,1";"-0,05";"0,41";"-0,05";"10,1";"0,02";"0,07";"2,04";"10";"0,5";"10,17";"0,7";"16";"2,2";"GQ2003733"
"ICP619";"-9999";"-9999";"-9999";"0,01";"0,62";"2";"-10";"255";"0,7";"0,08";"0,18";"0,05";"34,64";"6,9";"29";"0,72";"2,9";"2,84";"2,1";"-0,1";"0,12";"-0,01";"-0,02";"0,14";"16,1";"4";"0,07";"0,12";"468";"0,49";"0,03";"0,76";"9,2";"534";"11,5";"8,6";"-0,1";"-0,01";"0,32";"1,9";"-1";"0,8";"13,1";"-0,05";"0,3";"-0,05";"3,4";"0,04";"0,06";"0,54";"45";"0,2";"7,31";"0,5";"23";"7,6";"GQ2003733"
"ICP620";"19";"-10";"-10";"-0,01";"0,66";"4";"-10";"71";"1,3";"0,14";"0,08";"0,03";"40,8";"3,6";"8";"1,47";"4,8";"1,5";"3";"-0,1";"0,2";"0,01";"-0,02";"0,12";"20,8";"5";"0,15";"0,08";"286";"0,7";"0,04";"3,32";"3,6";"155";"10,6";"14,3";"-0,1";"-0,01";"0,42";"1,3";"-1";"1,4";"20,1";"-0,05";"0,5";"-0,05";"20,5";"0,04";"0,09";"3,23";"16";"0,5";"13,7";"1,1";"24";"9,3";"GQ2003733"
"ICP621";"-9999";"-9999";"-9999";"-0,01";"0,33";"2";"-10";"87";"0,4";"0,08";"0,05";"0,03";"17,12";"2,8";"9";"0,55";"1,4";"1,07";"1,1";"-0,1";"-0,05";"-0,01";"-0,02";"0,09";"7,7";"2";"0,04";"0,05";"318";"0,27";"0,02";"0,62";"3,3";"130";"8,2";"6,6";"-0,1";"-0,01";"0,15";"0,6";"-1";"0,6";"8";"-0,05";"0,14";"-0,05";"2,7";"0,01";"0,05";"0,4";"14";"0,1";"3,29";"0,3";"10";"2,3";"GQ2003733"
"ICP622";"18";"-10";"-10";"0,15";"1,49";"32";"-10";"199";"1,8";"0,47";"0,29";"0,06";"50,01";"15,1";"82";"3,86";"18,9";"3,2";"6,3";"-0,1";"0,09";"0,04";"0,02";"0,14";"31";"27";"0,08";"0,61";"634";"0,41";"0,03";"1,36";"40,7";"571";"34,1";"18,7";"-0,1";"-0,01";"3,14";"3,9";"-1";"1,4";"47,5";"-0,05";"0,42";"-0,05";"6,6";"0,07";"0,15";"2,31";"62";"0,4";"9,73";"0,6";"80";"4,4";"GQ2003733"
"ICP623";"-9999";"-9999";"-9999";"-0,01";"0,58";"4";"-10";"209";"0,7";"0,11";"0,1";"0,05";"26,39";"6,8";"18";"0,64";"7,7";"2,35";"1,9";"-0,1";"0,07";"0,01";"-0,02";"0,12";"13,1";"4";"0,07";"0,08";"437";"0,46";"0,02";"0,57";"9,1";"238";"12,3";"9,3";"-0,1";"-0,01";"0,27";"1,7";"-1";"0,7";"9,9";"-0,05";"0,27";"-0,05";"3,7";"0,01";"0,06";"0,71";"31";"0,2";"6,31";"0,5";"22";"4,3";"GQ2003733"
"ICP624";"-9999";"-9999";"-9999";"-0,01";"0,9";"4";"-10";"117";"2";"0,13";"0,1";"0,08";"50,26";"3,9";"18";"1,44";"4";"1,41";"3,7";"-0,1";"0,08";"0,01";"0,02";"0,13";"29";"6";"0,18";"0,08";"334";"0,61";"0,04";"3,82";"6,5";"222";"18";"13,1";"-0,1";"0,02";"0,35";"1,5";"-1";"1,3";"28,1";"-0,05";"0,67";"-0,05";"14,3";"0,03";"0,1";"2,68";"17";"2,2";"17,4";"1,3";"33";"3,8";"GQ2003733"
"ICP625";"-9999";"-9999";"-9999";"-0,01";"0,64";"5";"-10";"184";"0,8";"0,1";"0,11";"0,09";"25,03";"11";"27";"0,78";"6,3";"3,04";"2,3";"-0,1";"-0,05";"-0,01";"-0,02";"0,08";"11,2";"6";"0,07";"0,13";"702";"0,43";"0,01";"0,89";"14,7";"505";"12,1";"8,3";"-0,1";"-0,01";"0,24";"1,8";"-1";"0,8";"12,6";"-0,05";"0,33";"-0,05";"3,6";"0,02";"0,06";"0,76";"42";"0,2";"7,81";"0,5";"29";"2,1";"GQ2003733"
"ICP626";"17";"-10";"-10";"-0,01";"0,63";"3";"-10";"94";"0,7";"0,07";"0,06";"0,03";"26,54";"2,2";"5";"1";"3,3";"1,06";"2,4";"-0,1";"-0,05";"0,01";"-0,02";"0,1";"14";"3";"0,07";"0,05";"247";"0,56";"0,03";"2,08";"2,5";"190";"8,9";"10,3";"-0,1";"0,01";"0,19";"0,8";"-1";"1,2";"22,7";"-0,05";"0,25";"-0,05";"6,7";"0,03";"0,06";"1,59";"9";"0,3";"6,75";"0,5";"21";"2,2";"GQ2003733"
"ICP627";"-10";"-10";"-10";"0,01";"0,48";"2";"-10";"122";"0,4";"0,09";"0,09";"0,03";"23,43";"5,4";"19";"0,62";"5";"2,23";"1,7";"-0,1";"0,09";"-0,01";"-0,02";"0,11";"10,6";"5";"0,05";"0,11";"332";"0,43";"0,03";"0,52";"7,4";"266";"7,8";"7";"-0,1";"-0,01";"0,19";"1,3";"-1";"0,7";"9";"-0,05";"0,21";"-0,05";"3,7";"0,03";"0,05";"0,51";"32";"0,1";"4,61";"0,4";"18";"5,6";"GQ2003733"
"ICP628";"147";"-10";"-10";"-0,01";"0,52";"4";"-10";"82";"1,3";"0,11";"0,06";"0,02";"41,14";"2,3";"4";"1,12";"6,9";"1,03";"2,3";"-0,1";"0,09";"0,01";"-0,02";"0,09";"23,8";"3";"0,15";"0,04";"230";"0,71";"0,03";"2,97";"2,5";"156";"19";"9";"-0,1";"0,01";"0,22";"0,9";"-1";"1,1";"20,3";"-0,05";"0,57";"-0,05";"22,8";"0,02";"0,07";"2,66";"10";"0,6";"15,38";"1,1";"22";"4,4";"GQ2003734"
"ICP629";"-9999";"-9999";"-9999";"-0,01";"0,36";"1";"-10";"97";"0,6";"0,16";"0,07";"0,1";"60,89";"3,3";"25";"0,63";"6,1";"2,55";"1,4";"-0,1";"0,2";"-0,01";"-0,02";"0,09";"29,2";"2";"0,1";"0,06";"477";"0,5";"0,02";"1,07";"8,2";"164";"12,3";"7";"-0,1";"-0,01";"0,27";"1,4";"-1";"0,8";"8,3";"-0,05";"0,4";"-0,05";"14,4";"0,04";"0,05";"1,44";"37";"0,3";"8,23";"0,7";"14";"13,1";"GQ2003734"
"ICP630";"-9999";"-9999";"-9999";"-0,01";"0,47";"2";"-10";"113";"0,6";"0,1";"0,09";"0,07";"29,6";"2,9";"17";"0,65";"7,6";"1,6";"1,6";"-0,1";"0,08";"-0,01";"-0,02";"0,13";"14,6";"4";"0,06";"0,08";"332";"0,39";"0,03";"1,06";"6,4";"193";"9,9";"9";"-0,1";"-0,01";"0,18";"1,1";"-1";"0,8";"12,6";"-0,05";"0,23";"-0,05";"5,6";"0,02";"0,06";"0,75";"18";"0,2";"5,31";"0,4";"18";"5";"GQ2003734"
"ICP631";"75";"-10";"-10";"0,32";"1,97";"47";"-10";"341";"2";"5,24";"0,39";"0,09";"63,14";"18,4";"51";"4,15";"78,1";"3,82";"7,5";"-0,1";"0,1";"0,09";"0,03";"0,2";"36,5";"23";"0,14";"0,55";"755";"0,79";"0,02";"1,17";"25,6";"635";"48,2";"24";"-0,1";"0,01";"3,9";"4,8";"-1";"1,1";"88,9";"-0,05";"0,68";"0,07";"5,4";"0,06";"0,2";"2,44";"68";"0,7";"15,72";"1";"74";"5,1";"GQ2003734"
"ICP632";"-9999";"-9999";"-9999";"-0,01";"1,25";"5";"-10";"189";"0,8";"0,11";"0,3";"0,14";"40,16";"20,4";"60";"0,86";"19,4";"4,47";"4,6";"-0,1";"0,14";"0,01";"0,02";"0,14";"20";"10";"0,1";"0,32";"791";"0,55";"0,03";"0,83";"27";"521";"14,1";"10,8";"-0,1";"0,01";"0,44";"4,9";"-1";"0,8";"21,3";"-0,05";"0,41";"-0,05";"3,8";"0,07";"0,07";"0,76";"84";"0,2";"9,59";"0,7";"50";"7,3";"GQ2003734"
"ICP633";"-10";"-10";"-10";"-0,01";"1,48";"23";"-10";"215";"2,1";"0,38";"0,34";"0,09";"71,12";"13";"74";"3";"47";"3,1";"6,6";"-0,1";"0,12";"0,02";"0,03";"0,15";"43,7";"14";"0,2";"0,44";"640";"1,39";"0,02";"2,1";"24,5";"811";"45,7";"20,9";"-0,1";"0,01";"2,09";"3,8";"-1";"1,7";"58,1";"-0,05";"0,89";"0,07";"12,1";"0,09";"0,16";"3,38";"55";"2,1";"22,93";"1,4";"59";"5";"GQ2003734"
"ICP634";"-10";"-10";"-10";"-0,01";"1,5";"6";"-10";"163";"2,1";"0,12";"0,59";"0,06";"83,81";"15,6";"110";"3,64";"25";"3,01";"5,8";"-0,1";"0,29";"0,02";"0,03";"0,32";"45,5";"19";"0,21";"0,72";"315";"0,85";"0,04";"2,55";"68,7";"1656";"9,6";"49,1";"-0,1";"-0,01";"0,34";"4,9";"-1";"1,4";"62,3";"-0,05";"0,95";"-0,05";"18,4";"0,18";"0,24";"6,09";"61";"1";"23,55";"1,5";"55";"8,1";"GQ2003734"
"ICP635";"-10";"-10";"-10";"-0,01";"1,02";"12";"-10";"134";"1,4";"0,31";"0,23";"0,05";"41,62";"10,5";"55";"3,01";"14,4";"2,84";"4,2";"-0,1";"0,08";"0,03";"-0,02";"0,16";"23,1";"19";"0,06";"0,39";"449";"0,46";"0,03";"1,48";"27,8";"668";"24,8";"16,1";"-0,1";"-0,01";"1,63";"2,5";"-1";"1,2";"22,4";"-0,05";"0,35";"-0,05";"4,7";"0,06";"0,11";"1,43";"46";"0,6";"7,05";"0,4";"44";"3,1";"GQ2003734"
"ICP636";"-10";"-10";"-10";"-0,01";"1,06";"12";"-10";"135";"1,5";"0,3";"0,23";"0,04";"41,37";"10,6";"54";"2,86";"14,8";"2,71";"4,4";"-0,1";"0,08";"0,03";"-0,02";"0,17";"23,2";"21";"0,06";"0,39";"426";"0,42";"0,03";"1,36";"27,8";"682";"23,9";"16,9";"-0,1";"-0,01";"1,57";"2,6";"-1";"1,2";"22,9";"-0,05";"0,34";"-0,05";"4,5";"0,06";"0,12";"1,48";"45";"0,6";"7,26";"0,4";"47";"3,5";"GQ2003734"
"ICP637";"13";"-10";"-10";"-0,01";"0,83";"9";"-10";"106";"1,3";"0,18";"0,47";"0,04";"65,32";"10,1";"72";"2,14";"22,7";"2,13";"3,4";"-0,1";"0,3";"-0,01";"-0,02";"0,14";"34,1";"7";"0,15";"0,36";"388";"0,68";"0,04";"3,39";"32,1";"1539";"12,9";"16,9";"-0,1";"-0,01";"0,47";"2,7";"-1";"1,4";"37,1";"-0,05";"0,68";"-0,05";"24,5";"0,22";"0,11";"3,29";"42";"1,8";"16,52";"1,1";"35";"14,1";"GQ2003734"
"ICP638";"-10";"-10";"-10";"-0,01";"0,61";"6";"-10";"87";"0,6";"0,1";"0,14";"0,03";"24,27";"5,6";"23";"1,16";"6,6";"1,36";"2,2";"-0,1";"0,07";"0,02";"-0,02";"0,1";"10,6";"10";"0,05";"0,22";"308";"0,21";"0,03";"0,57";"10";"253";"8,3";"8";"-0,1";"-0,01";"0,46";"1,6";"-1";"0,5";"12";"-0,05";"0,22";"-0,05";"2,8";"0,02";"0,06";"0,43";"22";"0,2";"5,33";"0,3";"21";"3,2";"GQ2003734"
"ICP639";"-9999";"-9999";"-9999";"-0,01";"1,81";"6";"-10";"432";"1,2";"0,14";"0,81";"0,09";"60,92";"22,6";"51";"1,06";"36,4";"4,84";"6,1";"-0,1";"0,16";"0,02";"0,03";"0,2";"27,4";"19";"0,16";"0,6";"1139";"0,61";"0,03";"1,51";"29,9";"777";"13,9";"15,5";"-0,1";"0,02";"0,37";"7,3";"-1";"0,8";"27,7";"-0,05";"0,65";"-0,05";"5,2";"0,06";"0,1";"0,9";"78";"0,1";"16,32";"1,2";"59";"7,4";"GQ2003734"
"ICP640";"-9999";"-9999";"-9999";"-0,01";"2,86";"4";"-10";"256";"0,8";"0,09";"0,85";"0,22";"39";"48,9";"143";"1,11";"77,4";"6,57";"9,3";"-0,1";"0,3";"0,02";"0,04";"0,1";"17";"18";"0,18";"1,15";"1456";"0,37";"0,02";"0,91";"58,6";"624";"14,7";"11,1";"-0,1";"0,01";"0,24";"16,1";"-1";"0,6";"34,9";"-0,05";"0,51";"-0,05";"2,3";"0,19";"0,09";"0,47";"173";"-0,1";"15,07";"1,2";"88";"13";"GQ2003734"
"ICP641";"-10";"-10";"-10";"-0,01";"1,32";"12";"-10";"195";"1,1";"0,24";"0,33";"0,06";"43,07";"13,6";"82";"2,53";"24,2";"2,51";"5,2";"-0,1";"0,1";"0,01";"-0,02";"0,12";"24,1";"11";"0,1";"0,72";"486";"0,44";"0,04";"1,14";"45,3";"515";"17,4";"14";"-0,1";"-0,01";"0,9";"4";"-1";"0,9";"49,5";"-0,05";"0,42";"-0,05";"6,1";"0,05";"0,1";"1,51";"43";"0,4";"10,06";"0,7";"43";"3,7";"GQ2003734"
"ICP642";"-10";"-10";"-10";"-0,01";"0,55";"2";"-10";"122";"0,4";"0,07";"0,12";"0,05";"27,02";"4,4";"14";"0,69";"4,9";"1,06";"1,9";"-0,1";"0,05";"0,01";"-0,02";"0,08";"14,6";"6";"0,05";"0,14";"242";"0,2";"0,04";"0,47";"7,2";"235";"6";"8";"-0,1";"-0,01";"0,16";"1,4";"-1";"0,3";"13,7";"-0,05";"0,25";"-0,05";"2,4";"0,02";"0,06";"0,45";"13";"0,1";"5,78";"0,4";"23";"2,4";"GQ2003734"
"ICP643";"-10";"-10";"-10";"-0,01";"1,38";"17";"-10";"268";"1,2";"0,16";"0,35";"0,05";"53,12";"16,3";"56";"3,35";"34,7";"3,08";"5,2";"-0,1";"0,17";"0,04";"0,02";"0,14";"30";"11";"0,07";"0,47";"729";"0,22";"0,04";"0,6";"23,9";"694";"22";"14,8";"-0,1";"-0,01";"1,08";"4,1";"-1";"0,9";"57,8";"-0,05";"0,38";"-0,05";"5,2";"0,07";"0,12";"1,33";"62";"0,2";"8,35";"0,5";"54";"7,8";"GQ2003734"
"ICP644";"-9999";"-9999";"-9999";"-0,01";"1,38";"6";"-10";"148";"0,8";"0,11";"0,19";"0,16";"31,75";"19,6";"46";"0,92";"27,6";"4,27";"4,8";"-0,1";"0,1";"-0,01";"0,02";"0,15";"15,7";"13";"0,09";"0,31";"646";"0,64";"0,02";"0,58";"31,8";"417";"12,9";"11,6";"-0,1";"-0,01";"0,31";"4,7";"-1";"0,5";"15,2";"-0,05";"0,36";"-0,05";"2,9";"0,04";"0,08";"0,54";"60";"0,1";"7,67";"0,6";"65";"5,6";"GQ2003734"
"ICP645";"-9999";"-9999";"-9999";"-0,01";"1,36";"10";"-10";"352";"1,3";"0,11";"0,34";"0,25";"69,18";"16,8";"64";"1,45";"17,5";"3,73";"4,2";"-0,1";"0,17";"0,05";"0,02";"0,24";"35";"11";"0,08";"0,41";"742";"0,47";"0,05";"1,13";"40,2";"851";"15,2";"15,1";"-0,1";"-0,01";"1,33";"4,5";"-1";"0,8";"51,7";"-0,05";"0,48";"-0,05";"5,7";"0,05";"0,09";"1,19";"59";"0,2";"9,42";"0,6";"42";"9,2";"GQ2003734"
"ICP646";"-9999";"-9999";"-9999";"-0,01";"0,76";"2";"-10";"76";"1,9";"0,16";"0,06";"0,05";"64,62";"2";"8";"1,32";"4,1";"0,89";"2,7";"-0,1";"0,11";"0,01";"-0,02";"0,13";"38,2";"6";"0,24";"0,05";"221";"0,42";"0,03";"6,81";"3,8";"125";"14,1";"14,1";"-0,1";"0,01";"0,19";"1,4";"-1";"1,1";"12,5";"-0,05";"0,75";"-0,05";"19,8";"0,02";"0,11";"3,25";"11";"0,5";"20,58";"1,7";"18";"4,4";"GQ2003734"
"ICP647";"-10";"-10";"-10";"-0,01";"0,54";"1";"-10";"41";"0,9";"0,2";"0,03";"0,02";"46,6";"0,8";"4";"1,05";"2,6";"0,72";"2,2";"-0,1";"0,12";"-0,01";"-0,02";"0,08";"26,6";"4";"0,21";"0,02";"94";"0,39";"0,02";"8,12";"2";"81";"13,3";"11,1";"-0,1";"-0,01";"0,12";"1,1";"-1";"1,4";"4,6";"-0,05";"0,54";"-0,05";"21,1";"0,03";"0,09";"2,33";"11";"1";"16,89";"1,4";"12";"5,2";"GQ2003734"
"ICP648";"11";"-10";"-10";"0,06";"0,69";"13";"-10";"83";"1,7";"1,58";"0,09";"0,03";"44,74";"4,1";"14";"1,95";"31,4";"1,63";"3,5";"-0,1";"0,14";"0,03";"0,02";"0,12";"27,5";"5";"0,15";"0,09";"279";"1,34";"0,04";"2,97";"6,1";"244";"26,9";"13,4";"-0,1";"-0,01";"0,54";"1,3";"-1";"1,5";"29,7";"-0,05";"0,6";"-0,05";"24,1";"0,05";"0,1";"3,5";"26";"1,7";"15,05";"1,1";"30";"6,5";"GQ2003734"
"ICP649";"-9999";"-9999";"-9999";"-0,01";"2,83";"6";"-10";"325";"1,1";"0,09";"0,83";"0,23";"59,45";"34,4";"86";"2,56";"60,3";"6,53";"9,7";"-0,1";"0,29";"0,01";"0,04";"0,13";"29,8";"27";"0,25";"0,84";"1176";"0,41";"0,03";"1,14";"40,4";"1177";"24,6";"14,9";"-0,1";"-0,01";"0,15";"15,3";"-1";"0,9";"50,8";"-0,05";"0,82";"-0,05";"3,4";"0,17";"0,12";"0,65";"157";"-0,1";"23,73";"1,7";"118";"12,2";"GQ2003734"
"ICP650";"-9999";"-9999";"-9999";"-0,01";"0,81";"2";"-10";"92";"0,5";"0,07";"0,26";"0,02";"22,68";"7,2";"27";"0,7";"7,6";"1,78";"2,9";"-0,1";"0,06";"-0,01";"-0,02";"0,08";"12";"6";"0,08";"0,25";"413";"0,23";"0,05";"0,64";"12,6";"284";"6,5";"8,1";"-0,1";"-0,01";"0,22";"2,7";"-1";"0,4";"25,8";"-0,05";"0,25";"-0,05";"3,1";"0,08";"0,05";"0,58";"36";"-0,1";"6,64";"0,5";"26";"2,7";"GQ2003734"
"ICP651";"-10";"-10";"-10";"0,1";"1,01";"4";"-10";"181";"0,8";"0,08";"0,26";"0,05";"42,95";"13,9";"74";"0,79";"29,3";"2,58";"3,9";"-0,1";"0,15";"0,01";"-0,02";"0,1";"23,3";"7";"0,09";"0,44";"684";"0,33";"0,05";"0,87";"32";"376";"12,5";"9,1";"-0,1";"-0,01";"0,3";"3,5";"-1";"0,8";"36";"-0,05";"0,43";"-0,05";"4,1";"0,08";"0,06";"0,73";"50";"0,1";"10,03";"0,7";"36";"7,6";"GQ2003734"
"ICP652";"-10";"-10";"-10";"0,13";"0,82";"3";"-10";"157";"0,7";"0,07";"0,22";"0,05";"35,94";"11,9";"64";"0,67";"26,6";"2,21";"3,2";"-0,1";"0,12";"0,04";"-0,02";"0,08";"19,4";"5";"0,08";"0,38";"588";"0,25";"0,04";"0,78";"29,1";"341";"11,3";"7,4";"-0,1";"-0,01";"0,32";"2,9";"-1";"0,7";"30,1";"-0,05";"0,35";"-0,05";"3,9";"0,07";"0,05";"0,64";"43";"0,1";"7,96";"0,5";"38";"6,4";"GQ2003734"
"ICP653";"-10";"-10";"-10";"-0,01";"0,8";"2";"-10";"100";"0,9";"0,13";"0,21";"0,03";"23,89";"7";"16";"0,77";"7,2";"1,79";"2,6";"-0,1";"-0,05";"-0,01";"-0,02";"0,05";"13";"5";"0,13";"0,14";"543";"0,26";"0,03";"1,08";"7";"163";"9";"6";"-0,1";"-0,01";"0,21";"2,8";"-1";"0,5";"25,6";"-0,05";"0,38";"-0,05";"3,3";"0,05";"0,06";"0,89";"39";"0,1";"11,58";"0,9";"25";"1,9";"GQ2003734"
"ICP654";"-10";"-10";"-10";"-0,01";"0,94";"7";"-10";"158";"0,9";"0,15";"0,16";"0,05";"33,17";"8,9";"51";"0,91";"11,5";"2,72";"3,5";"-0,1";"0,09";"0,01";"-0,02";"0,13";"18,4";"14";"0,06";"0,34";"457";"0,37";"0,04";"0,91";"19,5";"363";"15,5";"10,4";"-0,1";"-0,01";"0,7";"2,4";"-1";"0,8";"15";"-0,05";"0,31";"-0,05";"2,8";"0,05";"0,07";"0,66";"46";"0,3";"7,09";"0,4";"42";"5";"GQ2003734"
"ICP655";"-10";"-10";"-10";"-0,01";"0,86";"4";"-10";"100";"1,3";"0,25";"0,19";"0,02";"34,99";"6,3";"21";"1,48";"11,6";"1,75";"3,5";"-0,1";"0,06";"-0,01";"-0,02";"0,08";"20,2";"6";"0,14";"0,16";"410";"0,37";"0,03";"2,12";"7,8";"333";"15,7";"11";"-0,1";"-0,01";"0,4";"2,6";"-1";"0,9";"27,7";"-0,05";"0,47";"-0,05";"7,4";"0,05";"0,09";"1,73";"32";"0,3";"13,05";"1";"33";"2,3";"GQ2003734"
"ICP656";"-10";"-10";"-10";"-0,01";"0,86";"4";"-10";"98";"1,2";"0,24";"0,19";"0,03";"33,86";"6";"20";"1,46";"11,3";"1,66";"3,5";"-0,1";"-0,05";"-0,01";"-0,02";"0,09";"19,6";"6";"0,13";"0,16";"377";"0,37";"0,03";"2,07";"7,8";"311";"14,7";"11,1";"-0,1";"-0,01";"0,38";"2,6";"-1";"0,9";"28,4";"-0,05";"0,45";"-0,05";"6,8";"0,05";"0,09";"1,69";"30";"0,3";"12,53";"0,9";"31";"2,1";"GQ2003734"
"ICP657";"-10";"-10";"-10";"-0,01";"1,24";"5";"-10";"152";"1,6";"0,13";"0,22";"0,07";"46,89";"14,7";"14";"1,28";"8,8";"2,55";"4,4";"-0,1";"0,05";"-0,01";"0,02";"0,06";"22,8";"8";"0,18";"0,18";"979";"0,38";"0,03";"1,33";"8,3";"358";"14,7";"12";"-0,1";"0,01";"0,16";"3,8";"-1";"0,7";"31,4";"-0,05";"0,67";"-0,05";"4,1";"0,04";"0,12";"0,97";"48";"0,1";"18,5";"1,3";"45";"1,6";"GQ2003734"
"ICP658";"-10";"-10";"-10";"-0,01";"0,83";"3";"-10";"95";"0,5";"0,09";"0,35";"0,03";"26,88";"9,1";"38";"0,91";"16,7";"2,03";"3,3";"-0,1";"0,06";"-0,01";"-0,02";"0,06";"12,7";"5";"0,09";"0,17";"599";"0,41";"0,03";"0,72";"8,8";"516";"14,1";"6,1";"-0,1";"-0,01";"0,51";"3,4";"-1";"0,5";"35,4";"-0,05";"0,26";"-0,05";"4,5";"0,11";"0,05";"1,21";"61";"0,1";"7,39";"0,6";"28";"3,2";"GQ2003734"
"ICP659";"-10";"-10";"-10";"-0,01";"1,72";"7";"-10";"150";"1";"0,11";"0,23";"0,22";"36,82";"26,4";"57";"0,99";"36,5";"4,7";"5,9";"-0,1";"0,1";"0,02";"0,03";"0,18";"18,4";"15";"0,11";"0,38";"799";"0,82";"0,03";"0,73";"39,5";"483";"16,9";"14,4";"-0,1";"-0,01";"0,3";"5,8";"-1";"0,6";"16,9";"-0,05";"0,42";"-0,05";"3,3";"0,05";"0,09";"0,59";"70";"0,1";"9,51";"0,8";"77";"5,7";"GQ2003734"
"ICP660";"-10";"-10";"-10";"0,04";"0,53";"2";"-10";"117";"0,5";"0,08";"0,11";"0,02";"16,78";"3,1";"13";"0,64";"7,8";"1,52";"1,8";"-0,1";"0,07";"-0,01";"-0,02";"0,16";"8";"4";"0,04";"0,1";"277";"0,39";"0,05";"0,48";"4,7";"181";"8,3";"9,5";"-0,1";"-0,01";"0,19";"1,1";"-1";"0,5";"15,3";"-0,05";"0,15";"-0,05";"2,7";"0,02";"0,06";"0,48";"16";"0,1";"3,83";"0,3";"15";"3,9";"GQ2003734"
"ICP661";"-10";"-10";"-10";"-0,01";"2,18";"13";"-10";"291";"1,2";"0,13";"0,51";"0,08";"52,2";"24,6";"181";"1,71";"36,7";"3,49";"8,7";"-0,1";"0,38";"0,05";"0,03";"0,1";"27,7";"17";"0,09";"1,25";"806";"0,21";"0,05";"0,84";"108,5";"476";"19";"12,2";"-0,1";"-0,01";"0,68";"7,8";"-1";"1";"77,4";"-0,05";"0,4";"-0,05";"3,6";"0,11";"0,08";"1,51";"67";"0,3";"9,47";"0,6";"67";"14,6";"GQ2003734"
"ICP662";"-10";"-10";"-10";"-0,01";"0,9";"3";"-10";"217";"1,1";"0,13";"0,18";"0,06";"34,04";"5,7";"21";"1,22";"7,9";"1,57";"3,1";"-0,1";"0,07";"0,02";"-0,02";"0,1";"18,9";"11";"0,1";"0,23";"466";"0,28";"0,02";"0,7";"10,3";"326";"9,9";"14,2";"-0,1";"0,01";"0,27";"2,1";"-1";"0,6";"14,2";"-0,05";"0,42";"-0,05";"2,3";"0,03";"0,09";"0,8";"27";"0,2";"11,1";"0,7";"33";"2";"GQ2003734"
"ICP663";"-10";"-10";"-10";"-0,01";"1";"4";"-10";"209";"1,1";"0,13";"0,2";"0,06";"33,87";"7,9";"22";"1,41";"7,1";"2,09";"3,3";"-0,1";"0,08";"-0,01";"-0,02";"0,12";"17,9";"15";"0,1";"0,27";"692";"0,45";"0,02";"0,71";"11,9";"330";"13,1";"14,2";"-0,1";"-0,01";"0,29";"2,3";"-1";"0,6";"14,2";"-0,05";"0,42";"-0,05";"2,9";"0,03";"0,1";"0,81";"32";"0,2";"11,01";"0,7";"40";"3,6";"GQ2003734"
