SGS GEOSOL LABORATÓRIOS LTDA.;;;;;Final Report;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Client:;COMPANHIA DE PESQUISA DE RECURSOS MINERAIS CPRM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
File Created:;24/07/2020 10:35:02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Job Number:;GQ2003733;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Number of Samples:;46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Project:;"4118.550";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Shipment ID:;003/SUREG-SP/019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P.O. Number:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Received:;22/07/2020 08:48:02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Method;PREPS80P;PREPS80P;PREPS80P;PREPS80P;PREPS80P;PREPS80P;FAI313;FAI313;FAI313;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B
;;Analyte;Peso_bruto;Peso_inicial;+80#;+80#_P;-80#;-80#_P;Au;Pd;Pt;Ag;Al;As;B;Ba;Be;Bi;Ca;Cd;Ce;Co;Cr;Cs;Cu;Fe;Ga;Ge;Hf;Hg;In;K;La;Li;Lu;Mg;Mn;Mo;Na;Nb;Ni;P;Pb;Rb;Re;S;Sb;Sc;Se;Sn;Sr;Ta;Tb;Te;Th;Ti;Tl;U;V;W;Y;Yb;Zn;Zr
;;Unit;g;g;g;%;g;%;ppb;ppb;ppb;ppm;%;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;%;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm
;;MDL;0;0;1;0,01;1;0,01;10;10;10;0,01;0,01;1;10;5;0,1;0,02;0,01;0,01;0,05;0,1;1;0,05;0,5;0,01;0,1;0,1;0,05;0,01;0,02;0,01;0,1;1;0,01;0,01;5;0,05;0,01;0,05;0,5;50;0,2;0,2;0,1;0,01;0,05;0,1;1;0,3;0,5;0,05;0,02;0,05;0,1;0,01;0,02;0,05;1;0,1;0,05;0,1;1;0,5
Sample;;Type;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BRANCO_PREP;;BRANCO_PREP;NA;NA;NA;NA;NA;NA;<10;<10;<10;0,03;<0,01;<1;<10;<5;<0,1;<0,02;<0,01;<0,01;0,16;0,2;5;<0,05;<0,5;0,66;0,3;<0,1;<0,05;<0,01;<0,02;<0,01;<0,1;<1;<0,01;<0,01;90;0,39;<0,01;0,08;1,8;<50;0,9;<0,2;<0,1;<0,01;<0,05;0,1;<1;<0,3;<0,5;<0,05;<0,02;<0,05;0,1;<0,01;<0,02;<0,05;<1;<0,1;<0,05;<0,1;<1;<0,5
ICP584;;SEDIMENTO CORRENTE;2880;2270;2256;99,56;10;0,44;I.S.;I.S.;I.S.;<0,01;0,37;1;<10;81;0,6;0,11;0,06;0,07;51,46;2,6;14;0,68;4,8;1,36;1,3;<0,1;0,08;<0,01;<0,02;0,11;25;3;0,05;0,08;296;0,31;0,03;1;5,9;149;9,7;8,3;<0,1;<0,01;0,14;0,8;<1;0,7;10,5;<0,05;0,34;<0,05;12,9;0,02;0,06;0,99;17;0,2;5,8;0,4;13;5,2
ICP585;;SEDIMENTO CORRENTE;2180;1690;1669;99,17;14;0,83;I.S.;I.S.;I.S.;<0,01;0,58;3;<10;136;1,1;0,12;0,11;0,16;44,46;4,7;14;0,72;2,5;1,82;1,8;<0,1;0,07;<0,01;<0,02;0,13;21,8;5;0,07;0,11;522;0,35;0,03;0,85;6,4;252;12,7;10,8;<0,1;<0,01;0,2;1,2;<1;0,7;13,8;<0,05;0,34;<0,05;8,7;0,02;0,09;1,17;25;0,2;7,03;0,5;20;4,3
ICP586;;SEDIMENTO CORRENTE;2360;1860;1768;95,13;91;4,87;I.S.;I.S.;I.S.;<0,01;1,04;3;<10;174;1,1;0,08;0,25;0,05;49,93;13;66;0,8;11,3;2,92;4,1;<0,1;0,12;<0,01;<0,02;0,13;28,9;8;0,12;0,51;572;0,45;0,03;1,15;34,4;408;11,6;11,1;<0,1;<0,01;0,25;2,9;<1;1;39,4;<0,05;0,5;<0,05;8,9;0,06;0,07;1,1;47;0,2;12,07;0,8;42;5,7
ICP587;;SEDIMENTO CORRENTE;1990;1490;1471;98,89;17;1,11;I.S.;I.S.;I.S.;<0,01;1,63;1;<10;403;0,6;0,05;0,32;0,2;63,27;25,5;81;0,43;17,7;4,02;5,5;<0,1;0,1;<0,01;<0,02;0,14;34,8;9;0,12;0,75;852;0,59;0,05;0,88;49,4;862;9,5;9,4;<0,1;<0,01;0,13;4,3;<1;0,5;39,9;<0,05;0,47;<0,05;5,8;0,04;0,06;0,53;55;0,1;10,9;0,8;66;5
ICP588;;SEDIMENTO CORRENTE;2620;2010;1716;85,39;294;14,61;<10;<10;<10;<0,01;1,57;10;<10;191;0,8;0,11;0,62;0,04;48,6;28,6;139;1,14;30,8;4,04;6,3;0,1;0,51;<0,01;0,03;0,09;21,4;14;0,08;1,3;857;0,28;0,06;0,87;77,5;665;12,5;7,9;<0,1;<0,01;0,49;7,4;<1;1;70,4;<0,05;0,35;<0,05;3,3;0,22;0,05;0,94;91;0,2;7,79;0,6;57;21,6
ICP589;;SEDIMENTO CORRENTE;2400;1810;1720;95,05;90;4,95;I.S.;I.S.;I.S.;<0,01;2,02;8;<10;369;1,2;0,09;0,63;0,09;75,11;41,4;186;1,04;25,1;4;6,8;<0,1;0,32;<0,01;0,02;0,11;31,6;15;0,13;1,2;1343;0,3;0,05;1,06;120;619;14,5;11,5;<0,1;<0,01;0,36;8,4;<1;1;77,4;<0,05;0,56;<0,05;3,5;0,15;0,07;1,18;72;0,2;13,58;0,9;67;13,3
ICP590;;SEDIMENTO CORRENTE;2130;1594;1548;97,24;44;2,76;I.S.;I.S.;I.S.;<0,01;1,39;4;<10;429;1,1;0,08;0,34;0,1;60,51;20,5;56;0,66;17,3;4,74;4,4;<0,1;0,08;0,02;0,03;0,25;29,8;12;0,17;0,34;807;0,51;0,03;1,17;33,6;950;20,7;13,2;<0,1;<0,01;0,4;5,2;<1;0,9;19,7;<0,05;0,64;<0,05;6;0,03;0,08;0,77;65;0,2;15,49;1,2;68;3,2
ICP591;;SEDIMENTO CORRENTE;3040;2410;2241;93,08;167;6,92;<10;<10;<10;<0,01;0,5;<1;<10;66;0,2;0,03;0,24;0,02;10,53;3,2;10;0,19;4,1;1,56;1,9;<0,1;<0,05;<0,01;<0,02;0,05;5,5;2;0,03;0,09;306;0,2;0,05;0,49;5,7;244;1,9;3,1;<0,1;<0,01;<0,05;1,5;<1;0,4;37,6;<0,05;0,1;<0,05;1,1;0,03;<0,02;0,23;27;<0,1;2,53;0,2;12;1,3
ICP592;;SEDIMENTO CORRENTE;3280;2610;2417;92,87;186;7,13;<10;<10;<10;0,01;0,68;<1;<10;77;0,2;0,03;0,33;0,02;11,72;3,5;12;0,17;4,4;2,17;2,4;0,2;<0,05;<0,01;<0,02;0,05;6;2;0,04;0,11;405;0,23;0,06;0,89;6,6;290;2,1;2,7;<0,1;<0,01;0,06;2;<1;0,4;53,1;<0,05;0,11;<0,05;1,2;0,09;<0,02;0,29;40;<0,1;3;0,3;15;1,5
ICP593;;SEDIMENTO CORRENTE;2650;2080;2029;97,71;48;2,29;I.S.;I.S.;I.S.;<0,01;0,89;2;<10;170;0,5;0,06;0,29;0,07;36,22;9,7;62;0,4;13,6;3,96;3,4;<0,1;0,08;<0,01;<0,02;0,08;20,6;3;0,09;0,23;481;0,27;0,03;0,64;15,8;299;8,9;5,3;<0,1;<0,01;0,21;3,9;<1;0,7;32,1;<0,05;0,32;<0,05;7;0,1;0,03;0,79;92;0,1;8,09;0,6;27;3,7
ICP594;;SEDIMENTO CORRENTE;2080;1610;1464;90,99;145;9,02;<10;<10;<10;<0,01;0,96;2;<10;184;0,6;0,07;0,25;0,04;44,3;10,8;41;0,61;10,1;2,2;3,5;<0,1;0,07;<0,01;<0,02;0,12;24;7;0,08;0,33;544;0,3;0,04;0,84;21,3;440;9,4;10,2;<0,1;<0,01;0,19;3;<1;0,7;30,3;<0,05;0,38;<0,05;3,4;0,05;0,06;0,71;34;<0,1;8,52;0,6;36;2,9
ICP595;;SEDIMENTO CORRENTE;2350;1840;1547;84,49;284;15,51;<10;<10;<10;<0,01;0,95;2;<10;181;0,7;0,06;0,26;0,05;46,1;11,7;42;0,65;10,5;2,25;3,5;<0,1;0,07;0,01;<0,02;0,1;24,7;7;0,09;0,33;583;0,29;0,03;0,87;21,3;460;9,7;10,1;<0,1;<0,01;0,18;3;<1;0,6;29;<0,05;0,39;<0,05;3,8;0,05;0,06;0,72;35;<0,1;8,87;0,6;38;2,6
ICP596;;SEDIMENTO CORRENTE;2140;1643;1536;93,52;107;6,48;<10;<10;<10;<0,01;1,91;10;<10;368;1,3;0,13;0,65;0,13;67,38;29;132;1,79;29,9;4,18;6,8;<0,1;0,28;0,02;0,03;0,15;32,5;18;0,14;0,83;1190;0,38;0,04;0,97;71,5;862;17,8;14,8;<0,1;<0,01;0,34;8,9;<1;1;82,5;<0,05;0,64;<0,05;4,3;0,12;0,08;1,38;76;0,1;15,47;1;73;10,7
ICP597;;SEDIMENTO CORRENTE;2130;1594;1524;95,67;69;4,33;I.S.;I.S.;I.S.;<0,01;1,49;4;<10;497;1,1;0,1;0,38;0,09;58,9;17,2;46;0,76;13;3,91;4,5;<0,1;0,1;0,01;0,03;0,24;30,4;13;0,17;0,34;775;0,48;0,03;0,94;27,9;860;20,4;14,3;<0,1;<0,01;0,31;5,1;<1;0,9;25,2;<0,05;0,63;<0,05;4,9;0,03;0,09;0,89;54;0,1;16,08;1,2;65;4,1
ICP598;;SEDIMENTO CORRENTE;2250;1770;1742;98,67;24;1,33;I.S.;I.S.;I.S.;<0,01;0,48;2;<10;82;0,7;0,13;0,08;0,09;36,34;2,7;10;0,79;2,9;1,12;1,5;<0,1;<0,05;<0,01;<0,02;0,12;17,8;4;0,04;0,11;244;0,32;0,02;1,06;5,7;169;9,4;9,7;<0,1;<0,01;0,12;1;<1;0,8;10,5;<0,05;0,25;<0,05;8,4;0,01;0,08;0,87;16;0,2;4,61;0,3;14;2,1
