SGS GEOSOL LABORATÓRIOS LTDA.;;;;;Final Report;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Client:;COMPANHIA DE PESQUISA DE RECURSOS MINERAIS CPRM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
File Created:;24/07/2020 10:35:33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Job Number:;GQ2003735;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Number of Samples:;46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Project:;"4118.550";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Shipment ID:;004/SUREG-SP/2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P.O. Number:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Received:;22/07/2020 08:48:33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Method;PREPS80P;PREPS80P;PREPS80P;PREPS80P;PREPS80P;PREPS80P;FAI313;FAI313;FAI313;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B
;;Analyte;Peso_bruto;Peso_inicial;+80#;+80#_P;-80#;-80#_P;Au;Pd;Pt;Ag;Al;As;B;Ba;Be;Bi;Ca;Cd;Ce;Co;Cr;Cs;Cu;Fe;Ga;Ge;Hf;Hg;In;K;La;Li;Lu;Mg;Mn;Mo;Na;Nb;Ni;P;Pb;Rb;Re;S;Sb;Sc;Se;Sn;Sr;Ta;Tb;Te;Th;Ti;Tl;U;V;W;Y;Yb;Zn;Zr
;;Unit;g;g;g;%;g;%;ppb;ppb;ppb;ppm;%;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;%;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm
;;MDL;0;0;1;0,01;1;0,01;10;10;10;0,01;0,01;1;10;5;0,1;0,02;0,01;0,01;0,05;0,1;1;0,05;0,5;0,01;0,1;0,1;0,05;0,01;0,02;0,01;0,1;1;0,01;0,01;5;0,05;0,01;0,05;0,5;50;0,2;0,2;0,1;0,01;0,05;0,1;1;0,3;0,5;0,05;0,02;0,05;0,1;0,01;0,02;0,05;1;0,1;0,05;0,1;1;0,5
Sample;;Type;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BRANCO_PREP;;BRANCO_PREP;NA;NA;NA;NA;NA;NA;<10;<10;<10;<0,01;<0,01;<1;<10;<5;<0,1;<0,02;<0,01;<0,01;0,13;0,2;6;<0,05;1,3;0,77;0,1;<0,1;0,09;<0,01;<0,02;<0,01;0,2;<1;<0,01;<0,01;107;0,41;<0,01;0,27;2,6;<50;<0,2;0,2;<0,1;<0,01;0,09;0,2;<1;<0,3;<0,5;<0,05;<0,02;<0,05;1,1;<0,01;<0,02;<0,05;<1;0,1;0,11;<0,1;<1;0,8
ICP672;;SEDIMENTO CORRENTE;1890;1403;1315;93,86;86;6,14;<10;<10;<10;<0,01;2,47;11;<10;168;1;0,12;0,33;0,21;51,31;34,2;75;1,2;65,1;7,63;8;<0,1;0,18;0,02;0,04;0,2;26,5;32;0,12;0,68;1003;0,73;0,02;0,97;49,4;709;21,2;20,3;<0,1;<0,01;0,27;8,5;<1;0,6;13,3;<0,05;0,54;<0,05;4,2;0,08;0,14;0,5;133;0,1;11,28;0,9;121;4,7
ICP673;;SEDIMENTO CORRENTE;2450;1840;1753;95,43;84;4,57;<10;<10;<10;<0,01;1,87;5;<10;176;0,7;0,05;0,5;0,06;26,08;23,4;54;0,75;23,4;4,24;5,6;<0,1;0,14;0,01;<0,02;0,1;15,2;13;0,15;0,79;1151;0,37;0,04;0,62;35,1;474;11,5;8,1;<0,1;<0,01;0,32;6,8;<1;0,5;40,3;<0,05;0,4;<0,05;2,3;0,09;0,06;0,52;81;<0,1;11,96;1,1;62;4,1
ICP674;;SEDIMENTO CORRENTE;2360;1827;1568;86,03;255;13,97;<10;<10;<10;<0,01;0,93;4;<10;154;0,9;0,06;0,26;0,03;38,93;12,2;74;0,78;11,4;2,25;3,2;<0,1;0,19;0,03;<0,02;0,1;24,7;7;0,09;0,47;552;0,32;0,04;0,98;34,4;310;13,9;8,9;<0,1;<0,01;0,24;3,3;<1;1;31,4;<0,05;0,42;<0,05;3;0,07;0,07;0,65;40;0,1;9,88;0,7;35;8,1
ICP675;;SEDIMENTO CORRENTE;2480;1910;1853;97,17;54;2,83;<10;<10;<10;<0,01;1,31;8;<10;105;0,8;0,06;0,14;0,53;33,2;24,2;53;0,64;39,5;4,94;4,8;<0,1;0,07;0,01;0,02;0,08;19,4;16;0,1;0,27;821;1,14;<0,01;0,58;37,5;438;20,8;7,5;<0,1;0,01;0,17;5,4;<1;0,5;6,4;<0,05;0,41;<0,05;2,1;0,02;0,07;0,42;70;<0,1;9;0,7;110;2,1
ICP676;;SEDIMENTO CORRENTE;2230;1735;1676;96,65;58;3,35;<10;<10;<10;<0,01;1,1;6;<10;86;0,6;0,05;0,11;0,41;28,93;20,1;46;0,57;32,6;4,32;4,1;<0,1;0,06;<0,01;<0,02;0,06;16,6;14;0,08;0,23;670;0,94;<0,01;0,51;30,6;370;16,6;6,1;<0,1;<0,01;0,15;4,2;<1;0,4;4,2;<0,05;0,33;<0,05;1,9;0,02;0,06;0,35;60;<0,1;7,05;0,6;98;1,7
ICP677;;SEDIMENTO CORRENTE;2470;1956;1782;91,27;171;8,73;<10;<10;<10;<0,01;1,19;7;<10;263;1,3;0,12;0,25;0,04;44,17;10,6;29;0,95;8,4;2,68;3,5;<0,1;0,09;0,01;<0,02;0,12;26,3;13;0,12;0,26;1084;0,33;0,03;0,52;14,2;447;15,8;12,7;<0,1;<0,01;0,27;3,1;<1;0,7;18,5;<0,05;0,49;<0,05;3,5;0,02;0,11;0,86;44;0,2;12,58;0,9;39;3
ICP678;;SEDIMENTO CORRENTE;1900;1452;1125;77,72;323;22,28;<10;<10;<10;<0,01;0,92;<1;<10;51;0,2;0,02;0,34;0,03;6,01;5,8;6;0,46;6,8;1,63;2,9;<0,1;<0,05;<0,01;<0,02;0,03;3,2;3;0,05;0,16;476;0,18;0,05;0,25;4,4;160;3,8;2,5;<0,1;<0,01;<0,05;2,7;<1;<0,3;39,3;<0,05;0,12;<0,05;0,6;0,06;0,02;0,15;39;<0,1;3,63;0,3;28;1,2
ICP679;;SEDIMENTO CORRENTE;1770;1356;1061;78,59;289;21,41;<10;<10;<10;<0,01;1,02;<1;<10;56;0,3;0,03;0,36;0,03;6,53;6,4;7;0,51;8,3;1,74;3,1;<0,1;0,05;<0,01;<0,02;0,03;3,5;4;0,05;0,17;521;0,21;0,05;0,26;4,9;175;4;2,6;<0,1;<0,01;<0,05;2,8;<1;<0,3;42,7;<0,05;0,12;<0,05;0,6;0,05;0,03;0,17;42;<0,1;4,06;0,4;31;1,2
ICP680;;SEDIMENTO CORRENTE;2360;1815;1093;60,55;712;39,45;<10;<10;<10;<0,01;0,97;2;<10;98;0,5;0,04;0,22;0,03;17,27;7,2;23;0,63;9,7;1,76;3,1;<0,1;0,07;<0,01;<0,02;0,08;9,2;7;0,07;0,23;568;0,24;0,06;0,47;11,8;173;5,3;6,7;<0,1;<0,01;<0,05;2,8;<1;0,4;31,1;<0,05;0,18;<0,05;1,8;0,05;0,05;0,38;36;<0,1;5,45;0,4;25;3,1
ICP681;;SEDIMENTO CORRENTE;2660;2116;1684;79,58;432;20,42;<10;<10;<10;<0,01;0,34;1;<10;73;0,3;0,05;0,05;<0,01;15,76;1,9;10;0,57;2,9;1;1;<0,1;<0,05;<0,01;<0,02;0,07;9,5;3;0,04;0,05;192;0,26;0,02;0,36;2,8;103;4,6;5,7;<0,1;<0,01;0,08;1;<1;0,4;5,8;<0,05;0,16;<0,05;1,6;0,01;0,05;0,31;13;<0,1;4,02;0,3;9;1,3
ICP682;;SEDIMENTO CORRENTE;2510;1915;1593;83,23;321;16,77;<10;<10;<10;<0,01;1,67;8;<10;259;0,9;0,07;0,55;0,05;49,02;28,5;183;0,92;26,3;3,63;5,7;<0,1;0,46;<0,01;0,02;0,09;24,9;13;0,08;1,52;969;0,22;0,06;0,76;120,1;621;13;7,6;<0,1;<0,01;0,44;6,6;<1;0,8;61,1;<0,05;0,35;<0,05;2,9;0,16;0,05;1,04;74;0,2;7,92;0,6;59;21,6
ICP683;;SEDIMENTO CORRENTE;2330;1810;1776;98,28;31;1,72;<10;<10;<10;<0,01;0,74;6;<10;176;1;0,09;0,15;0,05;37,5;8,9;37;1,17;11;2,63;2,5;<0,1;0,06;<0,01;<0,02;0,12;22,1;10;0,09;0,25;603;0,38;0,03;0,97;15;508;18,2;12,4;<0,1;<0,01;0,27;2,1;<1;0,8;12,2;<0,05;0,35;<0,05;2,6;0,03;0,1;0,64;41;0,2;8,7;0,6;41;2,4
ICP684;;SEDIMENTO CORRENTE;2380;1867;1328;71,22;537;28,78;<10;<10;<10;<0,01;0,51;<1;<10;78;0,4;0,05;0,17;0,01;29,94;3,8;13;0,52;5,5;1,98;2;<0,1;0,06;<0,01;<0,02;0,08;18,2;4;0,06;0,11;284;0,23;0,04;0,59;5,5;250;6,4;6,9;<0,1;<0,01;0,05;1,8;<1;0,6;15,3;<0,05;0,24;<0,05;5,4;0,08;0,05;0,6;45;<0,1;5,33;0,4;18;3,1
ICP685;;SEDIMENTO CORRENTE;2530;1960;1542;78,87;413;21,13;<10;<10;<10;<0,01;0,85;1;<10;41;0,2;<0,02;0,34;0,02;4,52;6,4;11;0,38;8,7;1,83;2,6;<0,1;<0,05;<0,01;<0,02;0,02;2,3;3;0,04;0,2;479;0,22;0,05;0,3;5;135;3,3;1,9;<0,1;<0,01;0,06;3,2;<1;0,4;30,4;<0,05;0,1;<0,05;0,6;0,07;0,02;0,13;46;<0,1;3,3;0,3;23;1
ICP686;;SEDIMENTO CORRENTE;2330;1789;1368;76,9;411;23,1;<10;<10;<10;<0,01;1,31;5;<10;145;0,9;0,08;0,35;0,03;42,24;14,2;109;1,26;16,8;2,88;4,3;<0,1;0,3;0,02;0,02;0,1;24,3;13;0,08;0,84;519;0,31;0,04;0,93;54,4;408;12,3;9,4;<0,1;<0,01;0,36;4,8;<1;1;33,7;<0,05;0,38;<0,05;3,2;0,11;0,06;0,91;56;0,2;8,33;0,6;43;13,6
