;;MDL;0;0;1;0,01;1;0,01;10;10;10;0,01;0,01;1;10;5;0,1;0,02;0,01;0,01;0,05;0,1;1;0,05;0,5;0,01;0,1;0,1;0,05;0,01;0,02;0,01;0,1;1;0,01;0,01;5;0,05;0,01;0,05;0,5;50;0,2;0,2;0,1;0,01;0,05;0,1;1;0,3;0,5;0,05;0,02;0,05;0,1;0,01;0,02;0,05;1;0,1;0,05;0,1;1;0,5
ICP670;;SEDIMENTO CORRENTE;2290;1794;1644;91,66;150;8,34;<10;<10;<10;<0,01;2,39;6;<10;142;0,7;0,08;0,55;0,24;31,45;41,8;74;1,05;70,4;6,28;8,1;0,1;0,15;<0,01;0,03;0,13;14,2;18;0,15;0,9;1360;0,47;0,02;0,71;44,9;615;13,3;16,5;<0,1;<0,01;0,14;11,7;<1;0,7;15,8;<0,05;0,48;<0,05;2,3;0,14;0,12;0,41;147;<0,1;13,96;1,1;86;4,9
ICP671;;SEDIMENTO CORRENTE;1880;1420;1327;93,55;92;6,45;<10;<10;<10;<0,01;2,49;14;<10;197;0,9;0,12;0,41;0,48;40,15;42,7;80;1,29;68,7;6,62;8,5;<0,1;0,12;<0,01;0,03;0,17;17,3;23;0,13;0,81;1099;0,64;0,02;0,94;45,3;598;49,3;21,7;<0,1;<0,01;0,24;10,2;<1;0,6;12,9;<0,05;0,46;<0,05;3;0,12;0,16;0,48;131;<0,1;11,39;0,9;153;5,1
Pulp Duplicates;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ICP671;;REP;--;--;--;--;--;--;--;--;--;<0,01;2,54;14;<10;200;0,9;0,12;0,41;0,49;41,46;43;81;1,28;69,1;6,68;8,4;<0,1;0,18;<0,01;0,04;0,17;17,6;24;0,13;0,82;1116;0,64;0,02;1,05;44,8;609;48,9;22;<0,1;<0,01;0,32;10,4;<1;0,7;14,1;<0,05;0,47;<0,05;3,6;0,12;0,17;0,49;133;0,1;11,6;0,9;156;5,5
Reference Materials;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OREAS46;;STD;--;--;--;--;--;--;--;--;--;0,02;0,75;<1;<10;60;0,2;0,04;0,59;0,04;24,96;5,6;24;0,36;25,6;1,45;2,4;<0,1;0,16;<0,01;<0,02;0,12;13,8;7;0,06;0,45;261;0,68;0,09;0,51;16,6;597;1,8;6,3;<0,1;<0,01;0,09;2,5;<1;0,5;24,8;<0,05;0,18;<0,05;2,4;0,06;0,06;0,39;19;<0,1;4,91;0,4;21;5,3
OREAS47;;STD;--;--;--;--;--;--;--;--;--;0,07;0,72;9;<10;62;0,2;0,17;0,48;0,53;45,32;48,9;28;1,17;167,5;1,52;2,7;<0,1;0,23;<0,01;0,03;0,11;23,5;9;0,06;0,44;265;11,88;0,08;1,45;76,5;594;285,5;7;<0,1;0,05;0,28;2,6;<1;2,3;27,5;<0,05;0,21;<0,05;2,7;0,06;0,08;0,41;20;0,1;5,16;0,4;213;5,9
ICP628;;1;--;--;--;--;--;--;513;<10;<10;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
ICP628;;2;--;--;--;--;--;--;196;<10;<10;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
