SGS GEOSOL LABORATÓRIOS LTDA.;;;;;Final Report;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Client:;COMPANHIA DE PESQUISA DE RECURSOS MINERAIS CPRM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
File Created:;24/07/2020 10:21:06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Job Number:;GQ2003731;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Number of Samples:;46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Project:;"4118.550";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Shipment ID:;003/SUREG-SP/019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P.O. Number:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Received:;22/07/2020 08:48:06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Method;PREPS80P;PREPS80P;PREPS80P;PREPS80P;PREPS80P;PREPS80P;FAI313;FAI313;FAI313;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B
ICP555;;SEDIMENTO CORRENTE;2760;2152;2096;97,44;55;2,56;I.S.;I.S.;I.S.;<0,01;2,03;10;<10;275;1,1;0,11;0,89;0,17;86,7;40,8;135;1,32;37,6;4,83;7,3;<0,1;0,49;0,01;0,03;0,11;35,4;22;0,12;1,79;1227;0,46;0,08;1,39;105;1172;15,1;9,9;<0,1;<0,01;1,88;8,1;<1;1;93,7;<0,05;0,58;<0,05;4,8;0,23;0,08;1,26;103;0,6;12,1;0,9;70;17,9
ICP556;;SEDIMENTO CORRENTE;2470;2001;1970;98,87;23;1,13;I.S.;I.S.;I.S.;<0,01;0,83;6;<10;227;1,4;0,12;0,2;0,11;50,64;9;20;0,87;8,7;2,2;2,3;<0,1;0,11;<0,01;<0,02;0,12;26,8;5;0,1;0,13;830;0,39;0,02;1,13;8,9;333;21,3;12,5;<0,1;<0,01;0,23;2,1;<1;0,4;28,7;<0,05;0,43;<0,05;5,3;0,01;0,13;1,28;33;0,1;9,84;0,7;27;3,2
ICP557;;SEDIMENTO CORRENTE;2330;1846;1674;90,78;170;9,22;<10;<10;<10;<0,01;1,58;6;<10;265;0,8;0,1;0,37;0,1;62,96;33,1;111;0,47;13,1;3,29;6,5;<0,1;0,22;<0,01;0,02;0,1;24,9;12;0,08;0,86;1683;0,29;0,04;1,26;66,9;395;12,2;7,8;<0,1;<0,01;0,33;5,4;<1;0,6;43,8;<0,05;0,36;<0,05;3,5;0,1;0,07;0,76;66;0,1;7,95;0,6;51;9,1
ICP558;;SEDIMENTO CORRENTE;2340;1784;1765;98,91;20;1,09;I.S.;I.S.;I.S.;<0,01;1,76;2;<10;202;1,4;0,1;0,51;0,18;126,64;24,6;87;1;23,3;4,37;7,7;<0,1;0,16;<0,01;0,03;0,18;65,6;17;0,24;0,67;1238;0,56;0,04;1,32;40,3;1098;18,9;20,5;<0,1;<0,01;0,1;6,4;<1;0,7;35,4;<0,05;0,83;<0,05;14,3;0,08;0,12;1;65;<0,1;21,48;1,6;83;5,9
ICP559;;SEDIMENTO CORRENTE;2280;1776;1674;94,26;102;5,75;<10;<10;<10;<0,01;1,23;3;<10;136;0,6;0,06;0,54;0,07;23,22;16,9;45;0,43;16,2;2,61;4,2;<0,1;0,09;<0,01;0,02;0,08;11,9;4;0,22;0,35;966;0,35;0,06;0,86;20;233;6,2;7,5;<0,1;<0,01;0,12;7,6;<1;0,5;40,5;<0,05;0,44;<0,05;2,5;0,1;0,05;0,67;65;<0,1;15,3;1,5;39;1,8
ICP560;;SEDIMENTO CORRENTE;2450;1855;1790;96,57;64;3,43;I.S.;I.S.;I.S.;<0,01;1,26;4;<10;173;1,1;0,16;0,26;0,07;56,95;12,3;33;0,79;13,6;3,27;5;<0,1;0,1;<0,01;<0,02;0,13;33;15;0,12;0,37;572;0,37;0,04;1,32;13;673;16,9;12,5;<0,1;<0,01;0,24;3,3;<1;0,7;28,4;<0,05;0,54;<0,05;6,2;0,07;0,09;1,05;62;0,1;13,22;0,9;52;3,1
ICP561;;SEDIMENTO CORRENTE;2120;1630;1608;98,92;18;1,08;I.S.;I.S.;I.S.;<0,01;1;1;<10;202;0,7;0,06;0,27;0,04;76,25;10,8;38;0,38;7,7;3,17;3,5;<0,1;0,14;<0,01;<0,02;0,11;43,4;7;0,1;0,29;585;0,39;0,04;2,66;18,3;678;10,7;9,3;<0,1;<0,01;0,13;3,2;<1;0,6;35,9;<0,05;0,51;<0,05;8,4;0,34;0,05;0,8;51;0,1;9,84;0,7;46;5,1
ICP562;;SEDIMENTO CORRENTE;1910;1480;1406;95,19;71;4,81;I.S.;I.S.;I.S.;<0,01;1,19;2;<10;138;0,6;0,06;0,56;0,08;33,99;18,5;57;0,43;17,8;3,28;4,5;<0,1;0,11;<0,01;0,03;0,09;17,2;4;0,24;0,36;949;0,39;0,05;1,03;22,6;282;7,8;7,9;<0,1;<0,01;0,13;7,7;<1;0,6;45,8;<0,05;0,53;<0,05;3,8;0,13;0,05;0,84;84;<0,1;17,97;1,7;39;2,7
ICP563;;SEDIMENTO CORRENTE;3140;2480;2341;94,68;132;5,32;<10;<10;<10;<0,01;1,3;4;<10;333;1,1;0,08;0,36;0,07;73,67;12,2;40;0,39;10,8;3,14;4,7;<0,1;0,19;<0,01;<0,02;0,12;45,7;9;0,14;0,31;685;0,22;0,03;0,56;19,9;355;13,4;9,2;<0,1;<0,01;0,15;4,4;<1;0,5;66,5;<0,05;0,63;<0,05;5,8;0,04;0,06;1;53;<0,1;15,73;1;50;7,4
ICP564;;SEDIMENTO CORRENTE;1100;820;746;90,98;74;9,02;I.S.;I.S.;I.S.;<0,01;2,22;5;<10;410;1,2;0,09;0,53;0,07;56,6;43,7;342;0,82;26,3;4,21;7,8;<0,1;0,15;0,01;0,03;0,09;23,4;28;0,08;1,9;1109;0,26;0,04;0,78;152,4;577;12,7;9,1;<0,1;0,01;0,51;9,9;<1;0,5;64,8;<0,05;0,42;<0,05;2,8;0,05;0,06;0,7;88;0,2;8,72;0,6;55;5,3
ICP565;;SEDIMENTO CORRENTE;2290;1760;1664;94,73;93;5,27;I.S.;I.S.;I.S.;<0,01;1,49;5;<10;289;1,3;0,09;0,31;0,08;83,36;24,3;61;0,56;8,6;4;5,7;<0,1;0,09;0,01;0,02;0,15;45,3;10;0,14;0,48;1080;0,29;0,03;1,09;34,6;643;15,5;11,8;<0,1;<0,01;0,29;4,4;<1;0,7;47,5;<0,05;0,65;<0,05;4,6;0,05;0,07;0,88;67;0,1;15,8;1;57;2,8
ICP566;;SEDIMENTO CORRENTE;2070;1600;1593;99,59;7;0,41;I.S.;I.S.;I.S.;<0,01;1,57;9;14;357;1,3;0,09;0,55;0,16;96,14;31,8;98;0,76;21,7;5,22;5,4;<0,1;0,18;0,02;0,03;0,12;42;20;0,15;0,91;2342;0,48;0,05;2,27;63;1224;17,3;10,6;<0,1;0,02;0,48;5,9;<1;0,7;62,3;<0,05;0,75;<0,05;4;0,12;0,08;1,29;76;0,2;15,52;1,1;72;6,8
ICP567;;SEDIMENTO CORRENTE;2060;1540;1482;96,86;48;3,14;I.S.;I.S.;I.S.;<0,01;2,25;2;<10;558;0,8;0,06;0,41;0,12;66,08;33,8;96;0,48;23,7;5,17;7,5;<0,1;0,08;<0,01;0,03;0,15;36,1;14;0,16;0,97;1017;1,25;0,03;1,27;67,1;936;9,8;10,6;<0,1;<0,01;0,12;6,6;<1;0,3;43,6;<0,05;0,63;<0,05;3,1;0,02;0,06;0,59;73;0,1;15,79;1,1;78;1,7
ICP568;;SEDIMENTO CORRENTE;2200;1695;1623;95,89;70;4,11;I.S.;I.S.;I.S.;<0,01;1,43;2;<10;114;0,6;0,05;0,63;0,05;30;18,7;41;0,39;20,9;3,52;6;<0,1;0,08;<0,01;0,03;0,1;15,2;6;0,25;0,54;757;0,31;0,05;1,4;19,6;761;8,1;7,9;<0,1;0,01;0,08;8,3;<1;0,7;48,7;<0,05;0,52;<0,05;2,9;0,12;0,04;0,69;79;<0,1;17,8;1,7;51;1,4
ICP569;;SEDIMENTO CORRENTE;1730;1285;1215;94,77;67;5,23;I.S.;I.S.;I.S.;<0,01;1,67;1;<10;565;0,7;0,05;0,33;0,11;100,55;29,2;86;0,42;21,7;4,43;5,4;<0,1;0,07;<0,01;0,02;0,17;52,5;9;0,17;0,68;887;0,97;0,03;0,85;57,8;1005;19,5;10,3;<0,1;0,01;0,33;5,5;<1;0,3;46,9;<0,05;0,73;<0,05;8,4;0,01;0,06;0,64;47;0,2;16,41;1,2;66;2
ICP570;;SEDIMENTO CORRENTE;2040;1540;1492;96,88;48;3,12;I.S.;I.S.;I.S.;<0,01;2,31;2;<10;623;1;0,07;0,4;0,13;96,9;34,6;113;0,41;27,9;5,46;7,2;<0,1;0,07;0,01;0,03;0,14;54,9;14;0,23;0,96;1119;1,21;0,02;1,76;73,8;1051;14,4;10,1;<0,1;<0,01;0,12;6,5;<1;0,5;52,6;<0,05;0,87;<0,05;6,2;0,04;0,06;0,97;69;0,2;22,15;1,6;89;1,7
ICP571;;SEDIMENTO CORRENTE;2050;1520;1471;96,78;49;3,23;I.S.;I.S.;I.S.;<0,01;2,05;2;<10;570;0,9;0,06;0,36;0,1;89,93;32,8;97;0,41;23,7;4,77;6,9;<0,1;0,08;0,01;0,02;0,17;49,5;13;0,21;0,89;1032;1,27;0,03;1,18;66,8;901;12,3;11,2;<0,1;<0,01;0,17;6;<1;0,4;43,3;<0,05;0,82;<0,05;5,9;0,01;0,06;0,88;57;0,2;21,31;1,5;81;1,2
ICP572;;SEDIMENTO CORRENTE;2570;2000;1966;98,35;33;1,65;I.S.;I.S.;I.S.;0,02;0,4;4;<10;220;0,7;0,11;0,11;0,1;28,2;4,7;13;1,03;2,2;1,58;1,5;<0,1;<0,05;<0,01;<0,02;0,09;14,3;3;0,06;0,07;465;0,3;0,02;0,92;4,9;258;23,3;8,8;<0,1;<0,01;0,35;1,2;<1;0,4;14,1;<0,05;0,23;<0,05;3;0,01;0,07;0,54;25;0,2;5,38;0,4;18;1,5
ICP573;;SEDIMENTO CORRENTE;2980;2340;2103;90,12;231;9,88;<10;<10;<10;<0,01;0,61;1;<10;89;0,3;0,04;0,27;0,04;14,18;7,7;28;0,29;7,3;1,72;2,4;<0,1;<0,05;<0,01;<0,02;0,05;7,4;2;0,06;0,19;393;0,21;0,04;0,61;11,5;244;4,5;4,2;<0,1;<0,01;0,08;2,5;<1;<0,3;33,8;<0,05;0,15;<0,05;1,9;0,05;0,02;0,32;41;<0,1;4,27;0,4;19;0,6
ICP574;;SEDIMENTO CORRENTE;2360;1883;1690;89,8;192;10,21;<10;<10;<10;<0,01;2,36;7;<10;481;1,1;0,12;0,64;0,09;61,3;37;270;1,19;29,9;4,52;9,4;<0,1;0,43;<0,01;0,03;0,1;28,5;23;0,1;1,5;1368;0,24;0,04;0,83;119,9;591;16,2;11,3;<0,1;<0,01;0,54;11,1;<1;0,9;74,7;<0,05;0,47;<0,05;3,7;0,16;0,06;1,08;88;0,2;10,06;0,7;72;17,5
ICP575;;SEDIMENTO CORRENTE;2670;2160;2089;96,87;68;3,13;I.S.;I.S.;I.S.;<0,01;0,74;4;<10;178;0,6;0,08;0,22;0,06;47,83;19,4;97;0,56;7,1;4,62;4,2;<0,1;0,15;0,05;<0,02;0,08;24,7;5;0,07;0,38;499;0,34;0,02;1,07;35,7;416;12,5;6,8;<0,1;<0,01;0,41;2,8;<1;0,7;24,9;<0,05;0,32;<0,05;7,6;0,09;0,04;0,78;106;0,2;6,73;0,5;36;6,9
ICP576;;SEDIMENTO CORRENTE;2100;1530;1440;94,3;87;5,7;I.S.;I.S.;I.S.;<0,01;2,56;2;<10;596;0,7;0,06;0,45;0,08;64,29;36,6;127;0,46;32,8;5,23;8,4;<0,1;0,09;<0,01;0,02;0,12;35,5;14;0,2;1,33;1201;1,01;0,02;0,81;83,9;1030;10,9;8,4;<0,1;0,01;0,15;6,7;<1;<0,3;57,7;<0,05;0,68;<0,05;3;0,01;0,05;0,44;68;0,1;17,7;1,3;78;1,3
ICP577;;SEDIMENTO CORRENTE;2860;2020;1732;86,04;281;13,96;<10;<10;<10;<0,01;1,97;6;<10;308;1;0,1;0,63;0,08;50,79;32,3;229;0,94;26,8;3,9;7;<0,1;0,49;0,01;0,03;0,1;23,7;15;0,1;1,37;1167;0,27;0,04;0,95;135,3;470;12,4;9,5;<0,1;<0,01;0,42;9,2;<1;0,8;62,3;<0,05;0,44;<0,05;3,3;0,16;0,05;1,03;77;0,2;10,44;0,7;56;21,5
ICP578;;SEDIMENTO CORRENTE;2360;1815;1720;94,84;94;5,16;I.S.;I.S.;I.S.;<0,01;1,88;8;<10;332;0,9;0,11;0,63;0,09;57,8;44,4;214;0,93;26,4;4,34;7,1;<0,1;0,36;0,01;0,03;0,09;23,8;18;0,08;1,47;1279;0,29;0,04;1,12;115,6;677;15;8,7;<0,1;<0,01;0,51;8,5;<1;0,8;68,7;<0,05;0,38;<0,05;3;0,2;0,06;1,02;96;0,2;8,14;0,6;69;14,9
ICP579;;SEDIMENTO CORRENTE;1790;1400;1287;92,16;110;7,84;<10;<10;<10;<0,01;1,96;6;<10;333;1,2;0,13;0,5;0,09;66,87;28,3;200;1,51;32,8;5,32;6,4;<0,1;0,18;0,02;0,04;0,13;30,7;18;0,14;0,94;1078;0,39;0,03;1,28;80,6;582;17,5;10,8;<0,1;<0,01;0,39;8,1;<1;1;34,9;<0,05;0,56;<0,05;6,4;0,18;0,06;1,15;107;0,4;12,95;1;67;8
BRANCO_PREP;;BRANCO_PREP;NA;NA;NA;NA;NA;NA;<10;<10;<10;0,03;<0,01;<1;<10;<5;<0,1;<0,02;<0,01;<0,01;0,17;0,2;6;<0,05;<0,5;0,58;0,3;<0,1;<0,05;<0,01;<0,02;<0,01;<0,1;<1;<0,01;<0,01;90;0,43;<0,01;0,1;1,4;<50;1;<0,2;<0,1;<0,01;<0,05;<0,1;<1;<0,3;<0,5;<0,05;<0,02;<0,05;0,1;<0,01;<0,02;<0,05;<1;<0,1;<0,05;<0,1;<1;<0,5
