SGS GEOSOL LABORATÓRIOS LTDA.;;;;;Final Report;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Client:;COMPANHIA DE PESQUISA DE RECURSOS MINERAIS CPRM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
File Created:;24/07/2020 10:21:06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Job Number:;GQ2003731;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Number of Samples:;46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Project:;"4118.550";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Shipment ID:;003/SUREG-SP/019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P.O. Number:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Received:;22/07/2020 08:48:06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Method;PREPS80P;PREPS80P;PREPS80P;PREPS80P;PREPS80P;PREPS80P;FAI313;FAI313;FAI313;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B
;;Analyte;Peso_bruto;Peso_inicial;+80#;+80#_P;-80#;-80#_P;Au;Pd;Pt;Ag;Al;As;B;Ba;Be;Bi;Ca;Cd;Ce;Co;Cr;Cs;Cu;Fe;Ga;Ge;Hf;Hg;In;K;La;Li;Lu;Mg;Mn;Mo;Na;Nb;Ni;P;Pb;Rb;Re;S;Sb;Sc;Se;Sn;Sr;Ta;Tb;Te;Th;Ti;Tl;U;V;W;Y;Yb;Zn;Zr
;;Unit;g;g;g;%;g;%;ppb;ppb;ppb;ppm;%;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;%;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm
;;MDL;0;0;1;0,01;1;0,01;10;10;10;0,01;0,01;1;10;5;0,1;0,02;0,01;0,01;0,05;0,1;1;0,05;0,5;0,01;0,1;0,1;0,05;0,01;0,02;0,01;0,1;1;0,01;0,01;5;0,05;0,01;0,05;0,5;50;0,2;0,2;0,1;0,01;0,05;0,1;1;0,3;0,5;0,05;0,02;0,05;0,1;0,01;0,02;0,05;1;0,1;0,05;0,1;1;0,5
Sample;;Type;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BRANCO_PREP;;BRANCO_PREP;NA;NA;NA;NA;NA;NA;<10;<10;<10;<0,01;<0,01;<1;<10;<5;<0,1;<0,02;<0,01;<0,01;0,17;0,2;5;<0,05;<0,5;0,61;0,2;<0,1;<0,05;<0,01;<0,02;<0,01;0,1;<1;<0,01;<0,01;84;0,41;<0,01;0,12;0,8;<50;0,8;<0,2;<0,1;<0,01;<0,05;<0,1;<1;<0,3;<0,5;<0,05;<0,02;<0,05;0,1;<0,01;<0,02;<0,05;<1;<0,1;<0,05;<0,1;<1;<0,5
ICP540;;SEDIMENTO CORRENTE;2080;1600;1379;86,38;218;13,62;<10;<10;<10;0,01;1,76;6;<10;407;1;0,1;0,46;0,07;48,67;23,9;125;0,97;26,5;3,67;5,9;<0,1;0,16;0,03;0,03;0,16;25;14;0,11;0,53;1250;0,22;0,03;0,55;57,3;343;12,6;11,2;<0,1;<0,01;0,52;7,5;<1;0,6;53,5;<0,05;0,47;<0,05;3,3;0,03;0,07;0,85;61;<0,1;10,9;0,8;59;6,5
ICP541;;SEDIMENTO CORRENTE;2460;1950;1849;94,97;98;5,04;I.S.;I.S.;I.S.;<0,01;1,33;5;<10;280;1,2;0,12;0,43;0,06;59,84;14,5;43;0,51;17,8;3,63;4,5;<0,1;0,16;<0,01;0,02;0,13;32,6;14;0,12;0,38;871;0,3;0,03;1,25;21,6;877;14,6;9,3;<0,1;<0,01;0,28;4,7;<1;0,6;42,2;<0,05;0,58;<0,05;3,6;0,06;0,06;0,73;55;0,1;13,79;0,9;53;6,2
ICP542;;SEDIMENTO CORRENTE;2800;2130;2033;95,67;92;4,33;I.S.;I.S.;I.S.;<0,01;0,72;<1;<10;148;0,5;0,04;0,18;0,04;142,3;6,1;21;0,41;10,6;1,98;2,1;<0,1;0,05;<0,01;<0,02;0,11;71,4;4;0,08;0,16;399;0,29;0,04;1,32;7,4;472;7,9;9,5;<0,1;<0,01;<0,05;1,8;<1;0,3;24,9;<0,05;0,71;<0,05;13,2;0,08;0,06;1,13;34;<0,1;11,05;0,6;31;1,1
ICP543;;SEDIMENTO CORRENTE;2420;1880;1839;97,98;38;2,03;I.S.;I.S.;I.S.;<0,01;0,74;1;<10;179;0,6;0,04;0,18;0,07;55,59;7,5;23;0,58;11;1,88;2,9;<0,1;0,05;<0,01;<0,02;0,12;30,2;5;0,07;0,2;414;0,27;0,03;0,98;10,1;528;9;10,6;<0,1;<0,01;0,06;1,7;<1;<0,3;19,8;<0,05;0,39;<0,05;4,5;0,03;0,06;0,65;28;<0,1;7,99;0,5;43;1,8
ICP544;;SEDIMENTO CORRENTE;2350;1810;1769;98,06;35;1,94;I.S.;I.S.;I.S.;<0,01;1,37;1;<10;222;0,8;0,05;0,63;0,09;75,09;18,6;40;0,59;13,6;3,85;5,1;<0,1;0,08;<0,01;<0,02;0,12;39,9;10;0,12;0,52;543;0,33;0,05;1,24;19,5;1832;12,3;11,1;<0,1;<0,01;0,05;4,3;<1;0,4;61,8;<0,05;0,61;<0,05;5;0,11;0,07;0,69;90;<0,1;13,13;0,9;55;2,1
ICP545;;SEDIMENTO CORRENTE;1920;1512;1472;97,32;41;2,68;I.S.;I.S.;I.S.;<0,01;0,97;3;<10;168;0,8;0,08;0,72;0,06;73,31;12,8;49;0,54;9;3,13;3,8;<0,1;0,18;<0,01;<0,02;0,08;36,4;11;0,15;0,36;661;0,3;0,03;1,51;16,7;2473;10,8;7,6;<0,1;<0,01;0,13;3,3;<1;0,6;49,7;<0,05;0,67;<0,05;6,1;0,16;0,05;0,74;81;0,2;16,55;1,1;53;7,5
ICP546;;SEDIMENTO CORRENTE;2060;1605;1595;99,44;9;0,56;I.S.;I.S.;I.S.;0,94;0,61;2;11;94;0,6;0,08;0,22;0,1;46,64;9,2;34;0,53;11,5;1,8;2,6;<0,1;0,07;<0,01;<0,02;0,1;22,3;6;0,08;0,23;434;0,3;0,03;1,12;14,5;557;10,8;9;<0,1;<0,01;0,09;2,1;<1;0,4;18,3;<0,05;0,31;<0,05;5,5;0,06;0,07;0,5;29;0,1;7,49;0,6;33;2,7
ICP547;;SEDIMENTO CORRENTE;3240;2560;2367;92,55;191;7,45;<10;<10;<10;<0,01;0,86;5;<10;132;0,6;0,08;0,22;0,06;35,67;14,4;49;0,57;14,5;3,21;3,4;<0,1;0,06;<0,01;<0,02;0,09;18,6;7;0,1;0,22;686;0,43;0,02;0,82;20,4;307;8,6;8,2;<0,1;<0,01;0,3;3,9;<1;0,3;24;<0,05;0,36;<0,05;3,3;0,06;0,05;0,64;59;<0,1;8,5;0,7;39;2,1
ICP548;;SEDIMENTO CORRENTE;2130;1630;1606;99,14;14;0,86;I.S.;I.S.;I.S.;<0,01;1,05;4;11;149;1,2;0,12;0,32;0,15;81,58;20,3;57;0,64;10;3,78;4,6;<0,1;0,15;<0,01;0,02;0,1;44,9;11;0,19;0,34;995;0,51;0,04;1,32;24,1;711;17,7;11,4;<0,1;0,01;0,18;4;<1;0,7;29;<0,05;0,71;<0,05;23,5;0,08;0,08;1,19;72;0,2;18,44;1,3;51;6,5
ICP549;;SEDIMENTO CORRENTE;2290;1845;1743;94,5;102;5,5;<10;<10;<10;<0,01;1,46;10;<10;421;1,1;0,1;0,44;0,09;74,89;46,2;98;0,85;22,4;4,11;5,2;<0,1;0,16;0,02;0,02;0,16;30,8;10;0,1;0,64;2309;0,5;0,05;1,04;64,3;577;14,8;10,8;<0,1;<0,01;0,65;5,7;<1;0,7;51;<0,05;0,49;<0,05;4;0,07;0,08;1,05;76;0,2;10,41;0,7;48;6,8
ICP550;;SEDIMENTO CORRENTE;2070;1630;1550;95,44;74;4,56;I.S.;I.S.;I.S.;<0,01;0,46;2;<10;96;0,5;0,1;0,1;0,03;25,83;4;14;0,48;2;1,7;1,9;<0,1;<0,05;<0,01;<0,02;0,1;14,5;5;0,04;0,13;266;0,22;0,02;0,73;4,3;316;7,4;7,6;<0,1;<0,01;0,13;1;<1;0,3;9,9;<0,05;0,22;<0,05;4,3;0,02;0,05;0,64;30;0,2;4,6;0,3;18;1,4
ICP551;;SEDIMENTO CORRENTE;2260;1730;1632;94,31;99;5,69;I.S.;I.S.;I.S.;<0,01;1,44;<1;<10;332;0,7;0,05;0,51;0,12;67,23;19,4;48;0,66;11,2;3,52;5,2;<0,1;0,07;<0,01;0,02;0,13;38,2;10;0,15;0,48;648;0,33;0,03;0,97;24;1356;9,7;11,3;<0,1;<0,01;0,07;4,3;<1;0,5;50,6;<0,05;0,63;<0,05;4,2;0,09;0,06;0,52;63;<0,1;14,92;1,1;48;1,5
ICP552;;SEDIMENTO CORRENTE;1840;1435;1386;96,75;47;3,25;I.S.;I.S.;I.S.;<0,01;1,29;7;<10;392;1;0,1;0,28;0,1;53,13;28,3;117;0,81;16,3;3,46;4,5;<0,1;0,09;0,03;0,02;0,13;20,7;10;0,08;0,41;1318;0,34;0,03;0,73;64,8;287;14;9;<0,1;<0,01;0,79;5,6;<1;0,4;37,2;<0,05;0,38;<0,05;2,9;0,02;0,06;0,6;67;0,2;7,81;0,5;42;4,1
ICP553;;SEDIMENTO CORRENTE;2280;1805;1773;98,45;28;1,56;I.S.;I.S.;I.S.;<0,01;0,94;4;<10;186;0,9;0,08;0,22;0,11;35,84;16,3;40;0,56;11,9;3,5;3,6;<0,1;0,14;<0,01;0,02;0,11;19;12;0,08;0,28;957;0,37;0,04;1,19;21,5;586;11,5;8,2;<0,1;<0,01;0,22;3,3;<1;0,5;24,3;<0,05;0,36;<0,05;3;0,06;0,06;0,53;49;<0,1;7,72;0,6;39;7,2
ICP554;;SEDIMENTO CORRENTE;3270;2600;2511;96,78;84;3,22;I.S.;I.S.;I.S.;<0,01;0,84;3;<10;161;0,7;0,08;0,21;0,05;31,78;13,5;40;0,51;11,2;3,37;3,2;<0,1;0,13;0,01;<0,02;0,1;17,1;10;0,07;0,25;826;0,38;0,03;0,93;18,2;533;10,7;7,3;<0,1;<0,01;0,22;2,8;<1;0,4;20,7;<0,05;0,31;<0,05;2,9;0,06;0,05;0,44;49;0,1;6,84;0,5;36;6,2
